OBJECTNUMMER;Naam;Bron;ProjectID;Uitvoerder;Datum;Maaiveld_hoogte;Diepte_to_maaiveld;Top_Pleistoceen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1712;"B04-285";"Waternet";"4943";"onbekend";"onbekend";"1.5";"-25.2";-18.4;"POINT(4.822484,52.404811)";"POINT(52.404811,4.822484)";4.822484;52.404811;
1713;"B04-286";"Waternet";"4957";"onbekend";"onbekend";"-2.7";"-26.9";-21.9;"POINT(4.822734,52.402503)";"POINT(52.402503,4.822734)";4.822734;52.402503;
1714;"B04-288";"Waternet";"4996";"onbekend";"onbekend";"-2.1";"-30.6";-22;"POINT(4.839295,52.402401)";"POINT(52.402401,4.839295)";4.839295;52.402401;
1715;"B04-289";"Waternet";"5008";"onbekend";"onbekend";"2.0";"-20.9";-12;"POINT(4.835239,52.404844)";"POINT(52.404844,4.835239)";4.835239;52.404844;
1716;"B04-290";"Waternet";"5003";"onbekend";"onbekend";"1.9";"-22.5";-11.9;"POINT(4.828876,52.404851)";"POINT(52.404851,4.828876)";4.828876;52.404851;
1717;"B04-291";"Waternet";"5418";"onbekend";"onbekend";"1.6";"-23.0";-14;"POINT(4.848163,52.406701)";"POINT(52.406701,4.848163)";4.848163;52.406701;
1718;"B04-294";"Waternet";"5423";"onbekend";"onbekend";"1.6";"-22.6";-13.8;"POINT(4.847826,52.406547)";"POINT(52.406547,4.847826)";4.847826;52.406547;
1719;"B04-3";"Waternet";"161";"onbekend";"onbekend";"0.7";"-24.6";-12.4;"POINT(4.828014,52.407965)";"POINT(52.407965,4.828014)";4.828014;52.407965;
1720;"B04-327";"Waternet";"217";"onbekend";"onbekend";"1.4";"-16.2";-16;"POINT(4.817842,52.412716)";"POINT(52.412716,4.817842)";4.817842;52.412716;
1721;"B04-328";"Waternet";"217";"onbekend";"onbekend";"1.1";"-24.9";-12.7;"POINT(4.818277,52.412044)";"POINT(52.412044,4.818277)";4.818277;52.412044;
1722;"B04-329";"Waternet";"617";"onbekend";"onbekend";"onbekend";"onbekend";-12.5;"POINT(4.818922,52.411014)";"POINT(52.411014,4.818922)";4.818922;52.411014;
