OBJECTNUMMER;Volgnummer;Adres;Soort_tuin;Sinds;Oppervlakte_m2;Stadsdeel;Foto;Weblink;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
48;46;"Kattenburg";"Daktuin";7000;"Centrum";"kattenburg.jpg";"DAKTUIN";"POINT(4.9188149,52.3722922)";"POINT(52.3722922,4.9188149)";4.9188149;52.3722922;
49;47;"Artis";"Muur";"Centrum";"MUUR";"POINT(4.9152648,52.3670928)";"POINT(52.3670928,4.9152648)";4.9152648;52.3670928;
50;48;"Tretjakovlaan 16";"Daktuin";2009;144;"Nieuw-West";"http://www.rooijakkers-tomesen.com/R+T/DJs_Garden_info.html";"DAKTUIN";"POINT(4.8307049,52.3660933)";"POINT(52.3660933,4.8307049)";4.8307049;52.3660933;
51;49;"Blankenstraat 402-410 / Frans de Wollantstraat 8-84";"Solar-sedumdak";1996;260;"Centrum";"blankenstraat.jpg";"";"SOLARSEDUM";"POINT(4.9321568,52.3709914)";"POINT(52.3709914,4.9321568)";4.9321568;52.3709914;
52;50;"Lambert Zijlplein";"Sedumdak";2006;1425;"Nieuw-West";"";"";"SEDUMDAK";"POINT(4.8024981,52.3776557)";"POINT(52.3776557,4.8024981)";4.8024981;52.3776557;
53;51;"Schoenerstraat 11";"Sedumdak";"Noord";"SEDUMDAK";"POINT(4.9081452,52.4044921)";"POINT(52.4044921,4.9081452)";4.9081452;52.4044921;
54;52;"GWL-terrein";"Sedumdak";1999;"West";"SEDUMDAK";"POINT(4.8678052,52.3832938)";"POINT(52.3832938,4.8678052)";4.8678052;52.3832938;
55;53;"GWL-terrein";"Sedumdak";1999;"West";"SEDUMDAK";"POINT(4.8677952,52.3850943)";"POINT(52.3850943,4.8677952)";4.8677952;52.3850943;
56;54;"A.S Onderwijzerhof";"Sedumdak";2010;1300;"Centrum";"NieuweAmstelstraatTurfsteeg3.JPG";"http://nl.wikipedia.org/wiki/De_Halve_Wereld";"SEDUMDAK";"POINT(4.9032252,52.3669936)";"POINT(52.3669936,4.9032252)";4.9032252;52.3669936;
58;56;"Pres. Kennedylaan 923";"Sedumdak";2007;300;"Zuid";"kendedylaan923.jpg";"SEDUMDAK";"POINT(4.8937752,52.3402945)";"POINT(52.3402945,4.8937752)";4.8937752;52.3402945;
59;57;"Victorieplein 11";"Sedumdak";96;"Zuid";"petteflet.jpg";"SEDUMDAK";"POINT(4.904855,52.3453948)";"POINT(52.3453948,4.904855)";4.904855;52.3453948;
60;58;"A.J. Ernstlaan 112";"Sedumdak";1600;"Zuid";"Ernstlaan112.jpg";"SEDUMDAK";"POINT(4.8780849,52.3327948)";"POINT(52.3327948,4.8780849)";4.8780849;52.3327948;
61;59;"Keizersgracht";"Sedumdak";2010;22;"Centrum";"SEDUMDAK";"POINT(4.8858249,52.3729941)";"POINT(52.3729941,4.8858249)";4.8858249;52.3729941;
62;60;"Amstelveenseweg 820";"Sedumdak";2010;8;"Zuid";"SEDUMDAK";"POINT(4.8571951,52.3295943)";"POINT(52.3295943,4.8571951)";4.8571951;52.3295943;
63;61;"Amstelveenseweg 824";"Sedumdak";2010;10;"Zuid";"SEDUMDAK";"POINT(4.857065,52.3294913)";"POINT(52.3294913,4.857065)";4.857065;52.3294913;
64;62;"Oudegeeststraat";"Sedumdak";2010;250;"Nieuw-west";"SEDUMDAK";"POINT(4.7971351,52.3530928)";"POINT(52.3530928,4.7971351)";4.7971351;52.3530928;
65;63;"Oosterdokskade 38";"Sedumdak";2010;75;"Centrum";"boot-phkade.jpg";"";"SEDUMDAK";"POINT(4.9059141,52.3741957)";"POINT(52.3741957,4.9059141)";4.9059141;52.3741957;
66;64;"GGD";"Sedumdak";2007;650;"Centrum";"SEDUMDAK";"POINT(4.9081252,52.3622939)";"POINT(52.3622939,4.9081252)";4.9081252;52.3622939;
67;66;"Vivaldi";"Sedumdak";2006;1425;"Zuid";"SEDUMDAK";"POINT(4.8850949,52.3372923)";"POINT(52.3372923,4.8850949)";4.8850949;52.3372923;
