OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
184;"De Nieuwe Stad";"De Nieuwe Stad";"Luthuliplein 11";"Kerkelijk centrum";"";5;"Christelijke kerk overig";"http://www.adventist.nl/locatie/";"POINT(4.9684241,52.3189665)";"POINT(52.3189665,4.9684241)";4.9684241;52.3189665;
185;"De Nieuwe Stad";"De Nieuwe Stad";"Luthuliplein 11";"Kerkelijk centrum";"";5;"Christelijke kerk overig";"http://www.adventist.nl/locatie/";"POINT(4.9683149,52.3188368)";"POINT(52.3188368,4.9683149)";4.9683149;52.3188368;
186;"De Nieuwe Stad";"De Nieuwe Stad";"Luthuliplein 11";"Kerkelijk centrum";"";5;"Christelijke kerk overig";"http://www.adventist.nl/locatie/";"POINT(4.9681861,52.3189894)";"POINT(52.3189894,4.9681861)";4.9681861;52.3189894;
187;"Onze Lieve Vrouwe van Lourdeskerk (Het Nieuwe Verbond )";"Onze Lieve Vrouwe van Lourdeskerk (Het Nieuwe Verbond )";"M.J. Granpre Moliereplein 2";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.820555,52.3744628)";"POINT(52.3744628,4.820555)";4.820555;52.3744628;
188;"Pinkstergemeente Klein Jeruzalem - Woonwagenzending (VPE)";"Pinkstergemeente Klein Jeruzalem";"Ma braunpad 22";"Onbekend";"Woonwagenzending (VPE)";1;"Evangelische- of Pinksterkerk";"http://www.woonwagenzending.nl";"POINT(4.7936108,52.3665473)";"POINT(52.3665473,4.7936108)";4.7936108;52.3665473;
189;"Meerpadkerk - Doopsgezinden";"Meerpadkerk";"Meerpad 9";"Kerk";"Doopsgezinden";5;"Christelijke kerk overig";"";"POINT(4.934181,52.3922164)";"POINT(52.3922164,4.934181)";4.934181;52.3922164;
190;"EL Mouhssinine - Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";"EL Mouhssinine";"Meeuwenlaan 31";"Moskee";"Raad van Marokkaanse Moskeeën Noord-Holland (RVM)";6;"Marokkaanse Moskee";"";"POINT(4.9131071,52.3832442)";"POINT(52.3832442,4.9131071)";4.9131071;52.3832442;
191;"Kerk Gereformeerde Gemeente - Gereformeerde Gemeente in Nederland en Noord-Amerika";"Kerk Gereformeerde Gemeente";"Melkweg 16";"Kerk";"Gereformeerde Gemeente in Nederland en Noord-Amerika";4;"Gereformeerde kerk";"";"POINT(4.8812458,52.4183547)";"POINT(52.4183547,4.8812458)";4.8812458;52.4183547;
192;"Moskee al-Ihsaan";"Moskee al-Ihsaan";"Mendes Da Costahof 28";"Gymzaaltjes";"";6;"Marokkaanse Moskee";"";"POINT(4.7991311,52.3765875)";"POINT(52.3765875,4.7991311)";4.7991311;52.3765875;
193;"Beis HaMedrasj Ets Chaim";"Beis HaMedrasj Ets Chaim";"Merckenburg 3";"Onbekend";"";9;"Joodse synagoge";"http://www.beishamedrasj.nl/";"POINT(4.8711111,52.3254592)";"POINT(52.3254592,4.8711111)";4.8711111;52.3254592;
194;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Meteorenweg 285";"Samenkomstfunctie";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.8801658,52.415177)";"POINT(52.415177,4.8801658)";4.8801658;52.415177;
195;"Rigdzin Community Nederland - Tibetaans boeddhistische Nyingma traditie";"Rigdzin Community Nederland";"Middenweg 22";"Onbekend";"Tibetaans boeddhistische Nyingma traditie";11;"Boeddhistische tempel";"http://www.rigdzin.nl/";"POINT(4.928972,52.3545844)";"POINT(52.3545844,4.928972)";4.928972;52.3545844;
196;"Maranathakerk - Koptisch Orthodoxe kerk";"Maranathakerk";"Mosplein 40";"Kerk";"Koptisch Orthodoxe kerk";5;"Christelijke kerk overig";"http://koptischekerk.nl/";"POINT(4.9130771,52.3929526)";"POINT(52.3929526,4.9130771)";4.9130771;52.3929526;
